duration,packet_count,byte_count,src_bytes,dst_bytes,syn_count,failed_connections,label
2.42,212,34428.5,10764.7,23663.8,71,1,Attack
2.858,55,29936.5,22362.1,7574.4,8,0,Normal
0.765,183,67951.8,18174.1,49777.7,72,3,Attack
0.525,175,38600.6,11668.5,26932.1,61,5,Attack
3.954,49,25135.2,19492.0,5643.2,8,1,Normal
3.311,188,40742.3,5689.5,35052.8,70,3,Attack
9.67,40,20418.8,17422.1,2996.7,1,0,Normal
2.93,57,27838.8,23185.8,4653.0,3,0,Normal
8.954,50,32681.1,22273.2,10407.9,3,0,Normal
0.565,191,36023.9,15263.2,20760.7,63,5,Attack
0.492,46,23226.4,15134.3,8092.1,7,1,Normal
0.878,46,20267.5,12413.2,7854.2,8,0,Normal
0.295,184,15235.4,1962.8,13272.6,75,3,Attack
3.391,44,24570.7,16705.1,7865.6,2,0,Normal
8.379,49,33523.1,12624.9,20898.2,3,0,Normal
2.203,197,41577.0,18694.5,22882.4,59,3,Attack
1.922,209,44023.5,5204.7,38818.8,81,2,Attack
0.912,186,56872.6,11738.5,45134.1,61,4,Attack
0.202,178,38123.5,15888.2,22235.3,67,5,Attack
0.899,184,39298.4,6173.3,33125.1,68,3,Attack
3.543,41,15261.9,12142.6,3119.3,7,0,Normal
0.782,34,14713.4,10398.2,4315.2,1,1,Normal
0.053,186,38262.2,4841.7,33420.6,65,6,Attack
0.581,214,64618.9,6930.5,57688.4,79,3,Attack
0.184,192,67804.8,15340.6,52464.2,78,4,Attack
1.286,41,22354.3,10160.5,12193.8,3,0,Normal
0.801,38,22228.8,19239.5,2989.3,1,0,Normal
0.69,191,39427.1,7343.2,32083.9,75,2,Attack
0.186,209,33228.0,2353.3,30874.7,68,5,Attack
0.246,42,22436.5,13801.4,8635.1,6,0,Normal
1.247,200,45312.0,14509.1,30802.9,79,2,Attack
0.58,186,82849.2,14108.2,68741.0,67,3,Attack
0.272,193,8654.8,2784.6,5870.2,66,3,Attack
0.266,42,14835.7,8813.7,6022.0,3,0,Normal
3.02,49,28463.7,14009.7,14454.0,4,0,Normal
1.863,36,19853.0,11114.7,8738.4,5,0,Normal
0.574,178,52134.4,17538.4,34596.0,55,3,Attack
3.901,43,24279.9,8698.0,15582.0,3,3,Normal
4.511,51,25195.6,11767.3,13428.4,4,0,Normal
6.87,45,22393.5,8336.9,14056.6,5,0,Normal
1.565,42,23975.0,12864.7,11110.3,3,0,Normal
5.924,55,29490.2,21753.1,7737.1,9,1,Normal
0.652,49,25999.5,18617.5,7382.0,4,0,Normal
1.857,33,17801.6,8934.1,8867.5,2,0,Normal
0.102,190,32024.7,15282.7,16742.0,65,3,Attack
3.031,48,23723.4,8941.7,14781.8,2,1,Normal
4.294,200,50087.6,21193.1,28894.5,73,3,Attack
2.184,45,20698.6,11113.1,9585.6,5,0,Normal
1.107,46,25312.8,16758.2,8554.5,3,1,Normal
9.571,48,26034.5,9566.2,16468.3,5,1,Normal
2.07,47,22726.5,19379.3,3347.2,4,0,Normal
0.161,43,24496.9,12222.8,12274.1,3,0,Normal
0.091,201,63164.8,4035.4,59129.3,71,4,Attack
0.33,219,29481.6,8926.8,20554.8,75,5,Attack
1.469,43,22402.5,9542.0,12860.5,4,3,Normal
2.425,47,28257.6,13734.0,14523.6,3,1,Normal
3.297,42,21029.0,17062.7,3966.2,4,0,Normal
2.619,34,19777.1,17460.1,2316.9,2,0,Normal
1.068,183,34143.1,11107.4,23035.7,54,3,Attack
2.192,39,14870.2,7013.8,7856.3,1,0,Normal
6.536,49,35068.2,21162.7,13905.6,2,0,Normal
0.44,41,16080.4,12379.2,3701.3,3,1,Normal
1.105,56,32628.5,22760.9,9867.6,7,1,Normal
0.791,170,44417.0,14704.2,29712.8,57,1,Attack
0.497,186,29033.4,11793.3,17240.2,55,1,Attack
0.946,54,33356.3,27922.6,5433.7,1,0,Normal
2.802,58,31961.0,17913.8,14047.1,8,1,Normal
3.679,57,32437.9,15353.8,17084.1,5,1,Normal
1.833,187,35158.6,10979.9,24178.7,52,0,Attack
0.308,178,35393.4,4249.5,31143.9,62,2,Attack
0.144,166,62909.2,10914.3,51994.9,64,3,Attack
2.031,178,64553.5,15775.6,48777.9,63,3,Attack
1.376,181,38017.9,6625.8,31392.1,70,3,Attack
0.772,175,51866.2,25509.2,26357.0,61,3,Attack
4.288,38,20419.6,9505.4,10914.2,7,0,Normal
0.915,205,35715.9,13834.8,21881.0,79,5,Attack
0.618,34,14684.6,9090.2,5594.4,3,0,Normal
1.636,181,80784.4,29426.8,51357.6,60,3,Attack
2.736,35,19109.1,13940.4,5168.7,5,0,Normal
5.728,46,28006.9,14267.8,13739.0,3,0,Normal
0.971,182,38435.0,6577.7,31857.3,64,6,Attack
0.512,49,22636.5,16117.9,6518.6,2,2,Normal
9.691,37,19833.4,12740.4,7093.0,4,0,Normal
0.012,194,24558.4,4682.9,19875.5,64,2,Attack
3.623,46,28800.2,18119.0,10681.2,4,0,Normal
2.671,50,25861.4,17678.3,8183.1,7,0,Normal
0.551,51,29464.4,10375.1,19089.2,2,2,Normal
0.45,62,31110.7,13531.0,17579.7,2,0,Normal
2.604,45,16430.4,9531.5,6898.9,5,1,Normal
1.255,52,28360.4,21045.8,7314.6,4,2,Normal
0.27,181,45106.3,21112.5,23993.8,63,2,Attack
1.176,58,28717.4,18007.6,10709.8,4,0,Normal
0.167,193,7775.2,1893.1,5882.1,58,5,Attack
2.108,51,33480.2,28438.9,5041.4,7,0,Normal
1.341,55,31435.9,14422.5,17013.3,5,1,Normal
2.213,54,29754.5,16026.0,13728.6,5,0,Normal
0.836,44,30182.1,14999.6,15182.5,3,1,Normal
0.802,191,57282.0,3560.4,53721.6,57,7,Attack
4.057,171,58998.7,10899.9,48098.7,58,5,Attack
2.669,192,66625.2,4997.9,61627.3,61,3,Attack
0.933,187,56592.8,4192.4,52400.4,65,0,Attack
2.315,35,15157.7,9938.0,5219.7,2,0,Normal
1.084,204,40308.1,12235.0,28073.1,74,2,Attack
2.777,45,20362.1,12312.1,8050.0,5,2,Normal
1.641,47,24633.3,12962.2,11671.0,3,2,Normal
0.959,200,81298.0,10273.1,71024.9,63,3,Attack
0.617,182,45271.3,21850.5,23420.8,56,6,Attack
1.47,50,14912.2,12304.4,2607.8,4,1,Normal
0.009,201,78272.6,32613.4,45659.3,76,1,Attack
0.766,41,23310.1,20023.3,3286.8,5,0,Normal
0.789,176,75390.6,6547.0,68843.6,57,6,Attack
9.964,50,30068.1,19990.4,10077.7,3,0,Normal
0.203,179,56746.9,6244.4,50502.5,57,3,Attack
0.237,174,51564.2,9216.1,42348.2,67,4,Attack
2.215,38,16709.4,10776.4,5933.0,4,1,Normal
3.281,175,43380.5,5783.4,37597.1,55,3,Attack
6.863,55,28180.5,24822.0,3358.4,6,0,Normal
5.395,47,27653.6,22689.4,4964.1,1,0,Normal
1.118,36,18662.1,13132.4,5529.7,0,0,Normal
0.559,192,55339.1,27175.3,28163.9,68,4,Attack
4.311,199,34527.3,14139.2,20388.1,71,2,Attack
3.106,48,25240.0,20961.9,4278.1,7,1,Normal
0.909,199,62644.1,28867.2,33776.9,62,2,Attack
2.307,47,23671.9,16863.0,6809.0,4,0,Normal
1.595,42,13928.7,7388.4,6540.3,2,1,Normal
2.099,173,49950.2,7085.3,42864.9,66,3,Attack
3.202,57,37655.4,15737.3,21918.1,4,1,Normal
1.837,46,27130.8,11317.0,15813.8,2,1,Normal
1.934,59,26549.5,13551.6,12997.9,2,0,Normal
0.744,48,24493.1,14073.6,10419.5,5,0,Normal
0.701,49,33537.5,24907.3,8630.2,1,0,Normal
0.931,46,25863.1,19274.8,6588.3,0,0,Normal
0.403,183,34525.7,5421.2,29104.5,54,5,Attack
1.575,212,23422.9,9627.8,13795.1,69,6,Attack
0.784,45,17996.2,11557.9,6438.3,3,1,Normal
3.137,47,25520.3,9549.3,15971.0,2,0,Normal
6.449,36,14447.3,11310.6,3136.7,2,1,Normal
1.679,48,15936.1,13479.8,2456.3,8,0,Normal
3.236,48,27356.9,18217.1,9139.8,2,0,Normal
0.103,196,51226.9,16905.9,34321.1,77,5,Attack
1.265,199,11426.0,1317.2,10108.9,76,4,Attack
1.35,48,26042.2,20856.7,5185.5,3,0,Normal
4.059,46,27802.2,20667.1,7135.1,2,0,Normal
0.323,178,51624.1,17112.8,34511.3,69,4,Attack
1.454,49,26649.9,19011.0,7638.9,4,0,Normal
3.043,47,25952.9,9455.4,16497.5,0,1,Normal
4.51,38,21296.7,11965.4,9331.3,5,3,Normal
1.664,57,42000.1,27965.7,14034.4,6,0,Normal
1.653,173,51873.7,21243.8,30629.9,55,5,Attack
1.641,45,27528.7,22604.8,4923.8,3,0,Normal
5.334,46,23616.1,14683.1,8933.0,2,0,Normal
0.35,37,22646.5,14510.0,8136.5,3,0,Normal
0.09,196,25168.3,8210.5,16957.8,66,2,Attack
0.827,46,20970.7,15095.6,5875.1,1,0,Normal
2.607,45,26850.6,10296.3,16554.3,7,2,Normal
6.575,43,20743.2,15450.8,5292.4,1,0,Normal
5.627,56,28273.9,23323.6,4950.3,6,0,Normal
0.134,179,39800.2,4587.0,35213.3,63,5,Attack
0.039,170,52072.0,25071.0,27001.0,55,4,Attack
1.04,50,23807.4,21252.6,2554.7,3,0,Normal
2.68,47,18700.0,15657.3,3042.8,2,1,Normal
0.297,204,75820.9,37115.2,38705.7,78,5,Attack
2.402,42,20527.0,18085.7,2441.3,4,0,Normal
0.434,212,43266.7,7893.6,35373.1,64,3,Attack
1.602,45,18612.4,16239.9,2372.5,5,0,Normal
0.556,184,40741.0,17829.9,22911.2,61,5,Attack
0.464,196,14306.0,4045.4,10260.6,68,4,Attack
0.525,224,29135.4,11885.3,17250.1,72,4,Attack
4.439,50,28036.5,20962.6,7073.9,7,0,Normal
1.894,43,28599.3,16352.6,12246.7,7,1,Normal
1.038,37,17105.7,10892.2,6213.5,4,0,Normal
3.801,180,36321.3,5927.2,30394.1,58,3,Attack
3.647,45,27397.4,11943.2,15454.2,5,0,Normal
2.456,39,26231.8,12233.2,13998.6,4,0,Normal
0.013,202,24672.3,7868.2,16804.1,71,1,Attack
1.116,59,14590.9,13113.8,1477.1,3,0,Normal
3.967,47,26286.4,10763.5,15522.9,1,1,Normal
0.274,174,80671.6,4642.1,76029.4,53,3,Attack
0.602,38,22179.0,19707.7,2471.3,6,0,Normal
3.087,49,22608.6,10475.7,12132.9,4,0,Normal
2.302,166,64852.7,26833.3,38019.5,52,2,Attack
7.018,42,14440.4,12188.1,2252.3,5,0,Normal
0.028,196,53458.1,6138.5,47319.6,75,2,Attack
0.596,36,17862.0,15149.7,2712.3,5,0,Normal
1.459,46,25595.1,9855.8,15739.4,2,1,Normal
2.67,46,22990.5,16559.4,6431.1,4,1,Normal
1.359,53,26378.8,19674.0,6704.8,7,0,Normal
2.018,178,50618.1,5655.7,44962.5,66,2,Attack
1.188,40,16795.9,11920.7,4875.2,5,1,Normal
2.507,43,22456.8,19649.5,2807.4,1,0,Normal
1.258,43,17452.2,9970.1,7482.1,5,2,Normal
0.021,163,53867.8,18349.6,35518.2,46,5,Attack
0.069,195,77216.0,20708.5,56507.5,68,4,Attack
1.652,52,28692.9,21335.9,7357.0,4,0,Normal
1.006,196,57006.8,7579.3,49427.6,66,4,Attack
1.884,51,32551.6,16172.7,16378.8,4,1,Normal
0.327,181,46043.9,6644.9,39399.0,60,3,Attack
0.865,40,21502.2,11308.8,10193.4,3,0,Normal
2.36,189,72997.7,34377.6,38620.0,61,2,Attack
1.216,42,16585.6,6423.9,10161.7,5,0,Normal
2.639,47,30183.5,10843.6,19340.0,4,0,Normal
2.02,32,18471.8,10272.9,8198.9,3,0,Normal
2.446,43,21938.0,8051.4,13886.6,2,0,Normal
2.436,190,40731.9,10480.9,30251.0,69,3,Attack
1.134,178,34351.7,15351.6,19000.1,61,2,Attack
0.647,41,21294.1,16762.8,4531.3,3,3,Normal
3.795,181,41525.4,3855.4,37670.0,66,4,Attack
0.45,161,35984.5,11847.7,24136.8,64,4,Attack
0.775,189,55012.5,21338.7,33673.8,68,3,Attack
6.044,40,21467.7,17950.2,3517.4,4,0,Normal
3.21,45,25564.0,16727.9,8836.1,5,2,Normal
0.284,174,42052.5,3200.3,38852.2,68,2,Attack
2.255,42,23465.2,18186.8,5278.4,4,1,Normal
1.306,170,68846.8,12251.1,56595.7,54,4,Attack
1.339,178,45684.8,19375.3,26309.5,62,4,Attack
1.678,34,20598.6,15316.6,5282.0,4,0,Normal
1.535,175,51416.3,23777.1,27639.1,61,3,Attack
1.109,174,64208.3,3546.9,60661.4,58,2,Attack
0.996,50,19896.6,7751.7,12144.9,4,0,Normal
7.945,43,18962.9,16618.6,2344.3,5,0,Normal
3.883,180,38733.7,7989.0,30744.8,57,2,Attack
5.185,48,25353.3,13509.4,11843.9,4,1,Normal
4.342,38,20913.3,15278.3,5634.9,5,0,Normal
0.075,194,58358.9,20161.8,38197.1,77,3,Attack
0.918,184,70826.4,6432.0,64394.5,68,4,Attack
2.041,200,91724.4,36497.0,55227.4,68,3,Attack
0.293,195,88080.1,34944.2,53135.9,70,4,Attack
4.547,43,24329.0,20856.9,3472.2,3,0,Normal
1.785,47,16130.6,8459.6,7671.0,5,0,Normal
1.767,45,17974.4,14999.0,2975.4,1,0,Normal
0.725,184,73905.2,25668.6,48236.7,54,2,Attack
1.366,179,69640.5,21047.6,48592.9,65,6,Attack
15.091,36,14132.2,6838.0,7294.2,2,1,Normal
1.86,50,28804.1,18550.0,10254.2,3,0,Normal
2.397,45,23248.5,19000.3,4248.2,3,1,Normal
0.47,174,28867.6,5536.1,23331.5,59,2,Attack
1.849,195,41593.0,13538.8,28054.2,78,3,Attack
2.098,61,31459.7,24568.2,6891.5,5,0,Normal
0.956,187,18743.8,2048.3,16695.5,77,5,Attack
2.284,39,26252.7,14262.9,11989.8,2,0,Normal
1.281,196,39306.4,14568.1,24738.3,61,2,Attack
2.907,43,18801.8,8538.5,10263.3,3,0,Normal
2.829,45,28534.8,23353.1,5181.7,4,0,Normal
5.232,59,31049.2,26432.8,4616.5,3,1,Normal
0.467,196,96641.9,9399.8,87242.1,71,6,Attack
1.629,188,33315.1,15955.9,17359.3,63,4,Attack
3.562,50,25444.4,13008.0,12436.3,2,0,Normal
4.186,41,28199.8,12566.7,15633.1,5,1,Normal
0.209,53,19680.0,9660.2,10019.8,4,0,Normal
3.454,189,23973.2,6320.2,17653.0,79,3,Attack
0.428,203,55911.5,26021.9,29889.6,70,6,Attack
2.126,197,31350.0,7470.6,23879.4,69,3,Attack
1.364,174,67023.2,5912.3,61110.9,69,5,Attack
4.023,44,22510.5,8627.3,13883.2,4,1,Normal
0.916,194,66057.1,29312.3,36744.8,77,5,Attack
3.949,44,21938.4,8661.6,13276.7,4,1,Normal
3.637,49,24851.3,17204.3,7647.0,3,0,Normal
2.327,45,27767.2,10147.0,17620.3,5,1,Normal
4.506,47,24879.0,19181.9,5697.1,4,0,Normal
0.495,196,51285.0,14246.0,37039.0,57,4,Attack
1.357,34,16615.9,13089.8,3526.1,1,0,Normal
0.988,182,34648.3,14352.5,20295.8,77,3,Attack
2.153,34,16173.8,8454.7,7719.1,2,1,Normal
3.08,42,22407.0,14277.7,8129.3,1,1,Normal
0.57,69,42050.4,15222.0,26828.5,3,0,Normal
0.774,183,49413.8,4656.0,44757.8,54,2,Attack
2.718,45,20750.4,16467.4,4283.0,2,0,Normal
10.534,51,21118.1,18713.1,2405.0,4,0,Normal
0.468,207,52635.0,23732.7,28902.4,78,6,Attack
3.088,54,27270.4,20297.6,6972.8,5,1,Normal
1.222,53,20838.5,12619.3,8219.2,4,0,Normal
5.084,43,17673.9,12429.4,5244.5,3,1,Normal
0.529,164,27217.9,3522.2,23695.7,62,3,Attack
1.609,177,19920.7,7036.4,12884.3,53,4,Attack
0.749,41,23420.2,11601.9,11818.3,2,0,Normal
0.346,190,32336.9,10655.7,21681.2,64,3,Attack
2.085,45,30561.7,12319.1,18242.6,5,1,Normal
2.72,47,23133.7,13829.2,9304.4,2,0,Normal
0.826,172,49201.6,16685.8,32515.8,61,3,Attack
4.834,46,22655.5,14950.6,7705.0,1,0,Normal
0.179,205,44341.0,18198.2,26142.8,81,3,Attack
0.611,177,70495.0,14801.0,55694.1,57,3,Attack
7.435,48,25484.9,21308.6,4176.3,3,0,Normal
3.828,41,22754.8,19351.4,3403.5,4,1,Normal
7.12,42,21908.2,16196.6,5711.7,3,0,Normal
0.089,190,13129.0,1988.6,11140.4,75,4,Attack
0.907,181,64984.6,16903.1,48081.6,68,5,Attack
9.306,50,25678.4,11172.6,14505.8,9,2,Normal
1.101,43,21043.6,10381.3,10662.3,7,0,Normal
0.9,180,58441.0,3565.6,54875.5,75,4,Attack
2.073,191,52833.8,23054.6,29779.2,72,5,Attack
0.656,189,41118.1,12856.2,28261.9,66,3,Attack
1.738,43,20863.7,8314.0,12549.7,5,1,Normal
2.037,38,22839.0,11807.1,11031.9,7,0,Normal
3.818,35,19769.5,9967.0,9802.5,2,1,Normal
4.806,48,26538.1,11417.8,15120.3,4,0,Normal
1.256,42,16318.7,9159.3,7159.3,6,0,Normal
3.294,46,28103.7,20026.9,8076.8,3,1,Normal
4.799,49,24425.4,16394.6,8030.8,5,0,Normal
1.537,177,55086.0,21505.1,33581.0,74,4,Attack
3.799,63,26691.8,14778.7,11913.1,5,0,Normal
3.893,53,26955.9,12740.5,14215.3,6,0,Normal
3.034,36,16692.8,9586.3,7106.6,4,1,Normal
1.74,191,30890.7,11070.3,19820.4,60,2,Attack
1.395,178,58283.2,28888.1,29395.1,75,3,Attack
3.158,36,21390.5,13615.2,7775.3,2,1,Normal
2.16,202,49348.6,4546.5,44802.1,79,3,Attack
2.106,184,73221.7,16928.7,56293.1,61,6,Attack
1.595,182,42979.6,18957.1,24022.5,63,5,Attack
1.675,43,26297.4,22906.6,3390.8,2,0,Normal
0.102,219,36292.1,12361.2,23930.9,68,4,Attack
1.295,220,44350.4,15127.0,29223.4,69,4,Attack
1.593,186,34181.9,15479.0,18702.9,69,3,Attack
1.253,173,34457.5,6678.0,27779.4,61,3,Attack
2.689,42,26224.8,14765.1,11459.8,1,0,Normal
1.92,50,32999.0,21137.9,11861.1,8,0,Normal
1.489,183,86198.5,29213.1,56985.4,67,2,Attack
1.569,190,53172.4,3445.4,49727.0,69,3,Attack
6.736,46,26011.4,11359.3,14652.1,4,1,Normal
4.937,52,30225.3,21241.7,8983.6,5,0,Normal
0.364,185,48786.0,15980.0,32806.1,69,3,Attack
3.658,60,30360.3,16876.3,13484.1,5,0,Normal
1.024,177,44982.6,3246.8,41735.8,61,4,Attack
0.368,171,24809.7,8355.9,16453.8,56,2,Attack
0.771,184,55278.9,11528.0,43750.9,56,3,Attack
2.225,44,21724.9,15492.0,6233.0,1,0,Normal
3.5,40,23025.2,20353.3,2671.9,2,0,Normal
0.946,50,26954.3,9534.5,17419.8,4,0,Normal
1.12,30,16150.0,8302.4,7847.6,4,1,Normal
1.7,185,89590.7,41387.2,48203.5,72,2,Attack
1.652,195,56624.0,19631.9,36992.1,62,3,Attack
4.673,38,19810.2,9132.5,10677.7,3,0,Normal
6.473,52,23513.0,20586.6,2926.4,1,0,Normal
1.435,45,22571.5,19315.4,3256.1,2,0,Normal
5.178,44,22312.8,18378.7,3934.1,5,1,Normal
2.17,36,24863.5,21822.0,3041.6,2,1,Normal
2.687,46,23354.9,17676.8,5678.1,5,0,Normal
0.89,50,18554.4,7043.6,11510.9,3,0,Normal
1.021,42,15920.3,13762.2,2158.1,0,0,Normal
5.181,164,56403.4,24025.9,32377.5,62,7,Attack
0.174,37,17569.6,7301.2,10268.5,3,0,Normal
0.614,40,24724.9,20845.8,3879.1,5,0,Normal
0.093,179,14828.7,887.2,13941.5,66,4,Attack
0.505,37,16247.3,5737.8,10509.6,3,0,Normal
0.607,44,25627.5,22081.5,3546.0,3,0,Normal
0.868,195,77705.4,4604.5,73100.8,66,2,Attack
1.534,40,21032.2,11791.0,9241.2,1,1,Normal
1.233,56,30638.4,24002.9,6635.5,6,0,Normal
1.101,176,46489.1,13436.1,33053.0,67,2,Attack
4.365,38,21798.7,10287.3,11511.3,4,0,Normal
1.093,47,22111.4,17393.6,4717.8,5,0,Normal
2.777,49,20733.8,13015.3,7718.5,2,2,Normal
0.195,169,46464.2,15023.2,31441.0,47,2,Attack
1.058,37,26485.5,18388.5,8097.0,4,1,Normal
1.166,43,20183.0,13664.2,6518.9,4,0,Normal
2.564,165,68615.7,6940.2,61675.5,49,3,Attack
0.67,46,26757.4,13174.5,13582.9,4,1,Normal
0.787,199,95132.5,46342.1,48790.5,72,2,Attack
0.618,193,65699.1,28407.3,37291.8,57,2,Attack
1.158,182,70480.1,27264.3,43215.8,64,5,Attack
3.58,55,27506.9,11312.6,16194.4,3,0,Normal
1.684,45,26617.7,21191.8,5426.0,5,0,Normal
3.054,174,29559.4,10060.0,19499.4,61,2,Attack
2.762,46,20806.8,15500.7,5306.1,4,2,Normal
0.859,176,57732.5,2965.6,54766.9,68,2,Attack
1.742,187,46266.5,13957.4,32309.1,59,6,Attack
3.399,50,27866.0,24666.5,3199.5,6,1,Normal
1.004,195,48837.1,10463.2,38373.9,74,6,Attack
1.207,188,31344.8,3897.4,27447.4,65,3,Attack
4.891,46,21787.0,12871.4,8915.6,5,0,Normal
1.289,44,27845.9,10904.8,16941.1,4,2,Normal
0.935,50,27890.7,19413.6,8477.1,7,0,Normal
0.067,189,59285.7,4152.9,55132.7,73,6,Attack
0.698,56,27631.5,17006.8,10624.7,7,0,Normal
5.99,36,21390.4,15991.4,5399.0,3,0,Normal
0.345,161,43688.7,20636.0,23052.8,44,6,Attack
1.541,33,11936.3,6435.5,5500.9,1,0,Normal
1.102,192,67665.2,12003.5,55661.7,64,3,Attack
4.866,61,32722.1,25815.3,6906.9,4,0,Normal
0.683,37,16947.9,9280.7,7667.2,4,0,Normal
1.476,193,35027.0,9747.0,25280.0,72,4,Attack
5.823,47,27808.1,11942.2,15866.0,6,0,Normal
4.66,177,89036.4,10238.4,78798.0,64,4,Attack
5.589,50,33694.5,25727.4,7967.1,0,0,Normal
0.543,161,7831.7,586.1,7245.6,49,7,Attack
2.756,36,19849.1,12555.3,7293.9,2,0,Normal
0.926,180,7330.2,1064.4,6265.7,60,5,Attack
4.704,206,57375.7,17389.5,39986.2,69,0,Attack
0.243,206,48070.2,6717.5,41352.8,69,6,Attack
4.349,48,31199.2,15390.1,15809.1,3,0,Normal
1.071,174,24633.1,8172.0,16461.1,69,2,Attack
1.075,193,49715.6,6236.9,43478.7,55,6,Attack
1.018,42,18497.0,13242.7,5254.3,3,1,Normal
6.509,44,29598.9,21905.5,7693.5,6,1,Normal
2.697,69,31926.5,18127.7,13798.8,4,0,Normal
0.672,39,25256.2,12684.6,12571.6,4,0,Normal
1.294,50,25373.8,22810.7,2563.2,2,1,Normal
4.181,54,29716.7,20202.5,9514.2,5,0,Normal
0.139,53,26680.5,12493.5,14187.0,5,0,Normal
6.606,41,25110.9,16840.4,8270.4,2,1,Normal
1.269,50,27146.4,21154.7,5991.7,9,0,Normal
2.392,48,26826.8,18513.8,8313.1,3,1,Normal
0.368,45,19152.1,10523.4,8628.7,4,0,Normal
0.924,56,30542.8,14216.3,16326.5,8,0,Normal
5.003,46,22930.0,12525.6,10404.4,3,1,Normal
0.581,42,19127.7,12397.5,6730.2,4,0,Normal
0.467,178,35925.8,7022.8,28903.0,61,2,Attack
0.997,188,76925.2,32415.0,44510.2,64,5,Attack
4.751,55,30495.2,19559.8,10935.4,6,0,Normal
2.04,57,28144.8,19586.0,8558.8,4,3,Normal
0.857,54,30007.3,20382.9,9624.4,3,0,Normal
3.011,54,31465.8,14775.9,16689.9,5,2,Normal
1.336,203,75940.3,22819.9,53120.3,90,2,Attack
